[02-Jul-2025 23:23:26 UTC] PHP Warning:  Undefined array key "HTTP_HOST" in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6334
[04-Jul-2025 17:07:54 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:07:55 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:07:59 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:08:05 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:10:07 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:12:02 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:14:02 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:16:02 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:17:02 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:19:06 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:21:02 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:23:03 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:24:03 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:26:07 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:28:03 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:30:03 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:32:03 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:21:59 UTC] PHP Warning:  Constant WP_POST_REVISIONS already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 99
[04-Jul-2025 18:21:59 UTC] PHP Warning:  Constant DB_NAME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 110
[04-Jul-2025 18:21:59 UTC] PHP Warning:  Constant DB_USER already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 111
[04-Jul-2025 18:21:59 UTC] PHP Warning:  Constant DB_PASSWORD already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 112
[04-Jul-2025 18:21:59 UTC] PHP Warning:  Constant DB_HOST already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 113
[04-Jul-2025 18:21:59 UTC] PHP Warning:  Constant WP_HOME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 115
[04-Jul-2025 18:21:59 UTC] PHP Warning:  Constant WP_SITEURL already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 116
[04-Jul-2025 18:21:59 UTC] PHP Warning:  Constant WP_DEBUG already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 119
[04-Jul-2025 18:22:00 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:22:40 UTC] PHP Warning:  Constant WP_POST_REVISIONS already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 99
[04-Jul-2025 18:22:40 UTC] PHP Warning:  Constant DB_NAME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 110
[04-Jul-2025 18:22:40 UTC] PHP Warning:  Constant DB_USER already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 111
[04-Jul-2025 18:22:40 UTC] PHP Warning:  Constant DB_PASSWORD already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 112
[04-Jul-2025 18:22:40 UTC] PHP Warning:  Constant DB_HOST already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 113
[04-Jul-2025 18:22:40 UTC] PHP Warning:  Constant WP_HOME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 115
[04-Jul-2025 18:22:40 UTC] PHP Warning:  Constant WP_SITEURL already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 116
[04-Jul-2025 18:22:40 UTC] PHP Warning:  Constant WP_DEBUG already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 119
[04-Jul-2025 18:22:41 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:23:07 UTC] PHP Warning:  Constant WP_POST_REVISIONS already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 99
[04-Jul-2025 18:23:07 UTC] PHP Warning:  Constant DB_NAME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 110
[04-Jul-2025 18:23:07 UTC] PHP Warning:  Constant DB_USER already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 111
[04-Jul-2025 18:23:07 UTC] PHP Warning:  Constant DB_PASSWORD already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 112
[04-Jul-2025 18:23:07 UTC] PHP Warning:  Constant DB_HOST already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 113
[04-Jul-2025 18:23:07 UTC] PHP Warning:  Constant WP_HOME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 115
[04-Jul-2025 18:23:07 UTC] PHP Warning:  Constant WP_SITEURL already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 116
[04-Jul-2025 18:23:07 UTC] PHP Warning:  Constant WP_DEBUG already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 119
[04-Jul-2025 18:23:07 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:26:54 UTC] PHP Warning:  Constant WP_POST_REVISIONS already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 99
[04-Jul-2025 18:26:55 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:27:01 UTC] PHP Warning:  Constant WP_POST_REVISIONS already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 99
[04-Jul-2025 18:27:01 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:27:28 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:28:57 UTC] PHP Warning:  Constant DB_NAME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 108
[04-Jul-2025 18:28:57 UTC] PHP Warning:  Constant DB_USER already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 109
[04-Jul-2025 18:28:57 UTC] PHP Warning:  Constant DB_PASSWORD already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 110
[04-Jul-2025 18:28:57 UTC] PHP Warning:  Constant DB_HOST already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 111
[04-Jul-2025 18:28:57 UTC] PHP Warning:  Constant WP_HOME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 113
[04-Jul-2025 18:28:57 UTC] PHP Warning:  Constant WP_SITEURL already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 114
[04-Jul-2025 18:28:57 UTC] PHP Warning:  Constant WP_DEBUG already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 117
[04-Jul-2025 18:28:58 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:34:14 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:35:05 UTC] PHP Warning:  Constant DB_NAME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 104
[04-Jul-2025 18:35:05 UTC] PHP Warning:  Constant DB_USER already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 105
[04-Jul-2025 18:35:05 UTC] PHP Warning:  Constant DB_PASSWORD already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 106
[04-Jul-2025 18:35:05 UTC] PHP Warning:  Constant DB_HOST already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 107
[04-Jul-2025 18:35:05 UTC] PHP Warning:  Constant WP_DEBUG already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 113
[04-Jul-2025 18:35:05 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:35:05 UTC] PHP Warning:  Constant DB_NAME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 104
[04-Jul-2025 18:35:05 UTC] PHP Warning:  Constant DB_USER already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 105
[04-Jul-2025 18:35:05 UTC] PHP Warning:  Constant DB_PASSWORD already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 106
[04-Jul-2025 18:35:05 UTC] PHP Warning:  Constant DB_HOST already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 107
[04-Jul-2025 18:35:05 UTC] PHP Warning:  Constant WP_DEBUG already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 113
[04-Jul-2025 18:35:05 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:35:10 UTC] PHP Warning:  Constant DB_NAME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 104
[04-Jul-2025 18:35:10 UTC] PHP Warning:  Constant DB_USER already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 105
[04-Jul-2025 18:35:10 UTC] PHP Warning:  Constant DB_PASSWORD already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 106
[04-Jul-2025 18:35:10 UTC] PHP Warning:  Constant DB_HOST already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 107
[04-Jul-2025 18:35:10 UTC] PHP Warning:  Constant WP_DEBUG already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 113
[04-Jul-2025 18:35:10 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:35:11 UTC] PHP Warning:  Constant DB_NAME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 104
[04-Jul-2025 18:35:11 UTC] PHP Warning:  Constant DB_USER already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 105
[04-Jul-2025 18:35:11 UTC] PHP Warning:  Constant DB_PASSWORD already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 106
[04-Jul-2025 18:35:11 UTC] PHP Warning:  Constant DB_HOST already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 107
[04-Jul-2025 18:35:11 UTC] PHP Warning:  Constant WP_DEBUG already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 113
[04-Jul-2025 18:35:11 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 18:36:11 UTC] PHP Warning:  Constant DB_NAME already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 104
[04-Jul-2025 18:36:11 UTC] PHP Warning:  Constant DB_USER already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 105
[04-Jul-2025 18:36:11 UTC] PHP Warning:  Constant DB_PASSWORD already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 106
[04-Jul-2025 18:36:11 UTC] PHP Warning:  Constant DB_HOST already defined in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 107
